Spot,C_Gel1_IS,C_Gel1_Total (Cy3),C_Gel1_Carbonyl (Cy5),C_Gel2_IS,C_Gel2_Total (Cy3),C_Gel2_Carbonyl (Cy5),C_Gel3_IS,C_Gel3_Total (Cy3),C_Gel3_Carbonyl (Cy5),C_Gel4_IS,C_Gel4_Total (Cy3),C_Gel4_Carbonyl (Cy5),T_Gel1_IS,T_Gel1_Total (Cy3),T_Gel1_Carbonyl (Cy5),T_Gel2_IS,T_Gel2_Total (Cy3),T_Gel2_Carbonyl (Cy5),T_Gel3_IS,T_Gel3_Total (Cy3),T_Gel3_Carbonyl (Cy5),T_Gel4_IS,T_Gel4_Total (Cy3),T_Gel4_Carbonyl (Cy5)
650,1681664.89375337,151197.179420186,405054.529317646,1415601.10657444,125290.850679907,437953.733707038,1252652.32787701,99579.6808122573,306597.8747348,1455327.14511561,137436.15805826,341800.621619558,1272150.00136926,57203.174576298,210344.915852823,1489372.52468281,62492.4291653869,176092.069086208,1259570.75556347,33731.0106461168,163678.912742777,1355093.37119365,59936.5671129733,165837.217643857
666,515872.127706181,38736.9501010951,172149.644799103,560405.476842694,40570.0052947682,173745.504865636,796574.969011734,54119.0422037677,190346.438838489,581766.177635313,44670.7520466231,113835.424830955,543792.730934248,39998.1722462726,175428.806236109,497201.311997984,40499.9182803785,181399.526642349,590927.004572158,27775.8340142543,186190.823616066,557168.284695406,45556.9457037949,162634.878459499
647,426784.027295059,37673.9958441951,342207.311163745,555623.260524989,41044.8897978133,406640.292569101,379744.560240145,34307.4688461019,44041.4595104369,404146.409446629,39622.8464452289,252566.624281993,387901.290889707,15929.8515730675,659470.090557729,540055.012739865,23226.3909645133,688715.028184954,444812.811293726,11097.8783850467,441114.255063885,451790.536481303,19988.5174118077,638665.646627951
698,40190387.0457459,3573649.74198693,3207520.24662291,39348554.6570011,3097823.60055943,3533424.23516576,36021002.695935,3046908.70700743,3030671.01727217,30580197.1025784,3026097.87544589,2723664.4696875,23296770.3828883,501968.179544626,2337045.42497118,36138423.0569871,735108.521740136,2643943.18730132,33983214.19036,410740.911328971,2034874.885385,33468599.965529,715459.844447935,1866542.25842527
656,567329.885506305,45699.4246362498,1313175.28371086,902129.74580079,61486.4632915664,1776831.31700021,1127760.06941409,86237.7697828748,541935.333162708,694336.45063858,63789.7067973961,1663312.03344295,455928.03872931,22003.7795125402,1037595.62462272,872054.784467871,41181.2251611067,1690244.09763952,717521.508920393,16456.8073266898,1601515.85073691,629028.452883821,30327.8418707772,1403059.52627229
652,2661766.64708769,212783.777855048,5999030.67043889,3192090.83459591,225126.068638077,6860811.85828358,2991498.01334772,228955.804903687,5541587.829739,2341604.65741878,215911.110564217,5132819.23206005,1498129.69579071,48191.0298644523,1999992.0295419,2358754.64864073,84253.9956918837,2538393.57014764,1968593.77998181,26371.3784893564,1934005.59239736,3024343.50028631,123125.870659816,2751816.40211128
673,891898.766762918,73901.6040815293,264342.678808181,710225.967968969,50877.0183063287,254366.533833412,597514.6482071,48316.4607615449,199510.182465291,804131.981215613,71625.6268520464,285066.846075288,684516.321478469,45396.5162957874,390525.069052105,851081.26343955,50904.2499594086,398091.074061535,951798.200690425,29674.5803015322,316258.012411867,912423.909435962,71897.1494459755,305878.545616723
653,1048857.64700096,104853.830948981,353357.256817788,1231759.48255209,94851.4892471092,435857.87430011,901153.922635356,82395.4350722462,328035.775678998,778087.745257638,82442.6472838323,312548.18599453,1044755.25688965,79133.854105183,586709.900943299,1341303.20244327,113626.532675793,609881.531963713,961545.694149263,37262.6207498581,355131.710538201,1043748.95626215,76618.0360840111,406529.686111388
668,202543.645841202,24585.5219792857,100807.518840735,221943.291738858,23613.200048025,134919.316729829,194364.744985116,19700.3568598291,96215.4888705585,155165.049712641,20003.949329957,78875.5297979631,274245.751740056,19249.0086572305,139643.862350921,181499.910342058,14543.2469381774,157453.41313049,176471.009141914,13944.8513946736,97702.7425493206,289635.733779644,21445.124563553,131278.541609089
676,2031769.32633347,168029.36430819,677027.74729481,2349255.90942728,166589.085740357,843487.696517217,1685074.58206417,134343.877506281,592519.656223791,1599575.17409068,147252.767752842,608416.568287625,1617987.85376584,86764.9828476716,331139.097816451,1425847.9207157,76453.9595677539,248547.537400391,1276652.9450928,35026.9142909335,134591.099014387,1543052.98528584,92768.6528451154,235346.667634645
681,1915133.32075935,171005.390199743,277522.7370805,1890455.88232012,170652.901784155,290556.47875567,2055058.7783738,181810.418221732,226271.664324502,2353901.31047573,230633.416975248,263385.163084812,1317852.52305316,72896.3454816423,299812.573880506,1975492.48565491,107302.215932752,246415.701858251,1605293.36086698,44600.4416923736,206084.15056217,2168319.96727367,120235.000959797,233175.183050519
672,186186.665098605,14233.6031965549,76616.5038822221,176090.666017447,13494.0177911414,78195.6313414168,144474.207244186,12402.760562324,96379.9568602629,158241.838762788,12571.0616060437,63394.6866909908,134347.488244956,11492.3190698028,62256.4258982504,172540.200180601,12493.8992445026,58457.5651342242,156980.933931574,5952.2246433188,81624.561387008,111050.151576452,8795.6769999535,71954.2741799948
730,32650533.1959256,2514235.21882978,1345669.24402487,29846487.901432,1969365.5044168,1254291.75511899,36816951.2030897,2931910.77019548,1450572.26406519,26005545.5739368,2425579.85373996,1037580.18960778,24353087.4353566,1216016.95581955,1166777.95335071,36208544.0890026,1814588.21100293,1709413.8340353,24473881.5708222,617399.462346606,891826.99736497,32899572.6170611,1781339.23411034,1150568.81737905
711,55556203.7090549,4439558.34632434,2847682.55444782,57190783.134541,3846462.60367573,3004507.6889188,56501592.3576915,4502104.74359239,3132538.05954618,45669760.6088038,4014252.00290239,2775059.01685831,33505002.9533474,1585788.1651383,1680528.08364529,50558176.8732122,2445418.83421873,2333093.20297573,37928765.5000027,935642.283007107,1386732.48135961,58989525.3803012,3274511.67862868,2829617.21624273
678,117165.751865178,13595.9561616518,54945.6286363922,86278.378729845,8052.6534599443,55511.5837625691,86889.4920021611,8921.8575245225,47047.7394077805,87230.7956358042,10903.9079962022,51982.868555066,129818.247463706,8550.3750224706,111603.967464092,153902.028880623,10631.9323660285,124729.592792403,46350.9763237249,2176.1636611248,63278.1296183454,137016.606471163,9774.3586222009,93540.8720645372
693,1406875.17899453,83996.2929270122,186640.807890136,1304224.65334393,78662.9628499114,253441.242754814,1668929.5513142,97412.6378089586,164323.103947559,1314494.75811648,90348.9151100741,156131.313759719,1380746.7940631,103123.880792523,220577.976687267,1497767.17722208,113918.444927623,256237.564882835,1610421.20434922,72364.7257854333,206528.006494548,1394590.01143206,104050.993911716,174085.37064421
