"SampleName","glycan","area","narea"
"A_18","GP4",4048363,20.1585410747473
"A_19","GP4",4190483,20.1142347247835
"A_20","GP4",3901531,20.0585675700242
"A_21","GP4",3891150,20.0862876958912
"A_22","GP4",3175218,20.1503998738894
"A_23","GP4",1931914,20.3511530779276
"A_24","GP4",4175380,20.1365320707422
"B_01","GP4",3325841,20.444133458012
"B_02","GP4",4356445,20.3036000953557
"B_03","GP4",3815085,20.1669927232874
"B_04","GP4",3783334,20.3000351825482
"B_05","GP4",3827756,20.2867224477565
"B_06","GP4",3907391,20.3923115265988
"B_07","GP4",3812817,20.3449610214952
"B_08","GP4",4170117,20.0308129625601
"B_09","GP4",3910122,20.2176143700871
"B_10","GP4",4157720,20.3919750653796
"B_11","GP4",3643311,20.1485345058857
"B_12","GP4",4204635,20.2940532972446
"B_13","GP4",4230531,20.3136231411406
"B_14","GP4",4278166,20.315478882504
"B_15","GP4",4427229,20.2773488217945
"B_16","GP4",3970955,19.9579014684679
"B_17","GP4",3889718,20.0762021949164
"B_18","GP4",3888700,20.2839629627678
"B_19","GP4",4297248,20.3283676855982
"B_20","GP4",3579799,20.2365056760367
"B_21","GP4",4092874,20.0999242043048
"B_22","GP4",3735318,19.9685117764897
"B_23","GP4",4150275,20.1319843048838
"B_24","GP4",2807840,19.996936192251
"C_01","GP4",4472083,20.2644938626503
"C_02","GP4",4234917,20.2146219163923
"C_03","GP4",4172295,20.2401676341756
"C_04","GP4",4268663,20.3385829030161
"C_05","GP4",4188380,20.364616082075
"C_06","GP4",4290226,20.3185756415276
"C_07","GP4",4280670,20.1411447413491
"C_08","GP4",3358748,20.6094434658468
"C_09","GP4",3907283,20.1316692015344
"C_10","GP4",3968404,20.4631122916538
"C_11","GP4",3955693,20.2295505996129
"C_12","GP4",4154526,20.1498202144816
"C_13","GP4",3847962,20.1988355634247
"C_14","GP4",4343536,20.1564940288593
"C_15","GP4",3512899,20.1965880755525
"C_16","GP4",4066634,20.1430099148984
"C_17","GP4",4172781,20.3792567251536
"C_18","GP4",4273819,20.3716268133613
"C_19","GP4",4190213,20.3562265438599
"C_20","GP4",4140276,20.3390120261375
"C_21","GP4",4439451,20.0648835758381
"C_22","GP4",4208164,20.1245762191489
"C_23","GP4",3975403,20.2215045064713
"C_24","GP4",4052900,20.3341913740964
"D_01","GP4",3629526,20.2125974675153
"D_02","GP4",4347310,20.0374771356517
"D_03","GP4",3683650,20.1817439001266
